Date,Action,Ticker,Quantity,Price,Cash
2020-01-22,BUY,HO=F,395263,1.829200029373169,276984.9087898731
2020-01-22,BUY,NG=F,146165,1.8949999809265137,2.2365777492523193
2020-01-29,SELL,HO=F,395263,1.71589994430542,678233.9962637424
2020-01-29,BUY,NG=F,350689,1.934000015258789,1.4649126529693604
2020-01-30,SELL,NG=F,14721,1.8769999742507935,27632.7815335989
2020-01-30,BUY,HO=F,16221,1.7035000324249268,0.30750763416290283
2020-01-31,SELL,HO=F,16220,1.6396000385284424,26594.6201325655
2020-01-31,BUY,NG=F,14540,1.8289999961853027,0.9601880311965942
2020-02-20,BUY,NG=F,0,1.9550000429153442,0.9601880311965942
2020-02-26,SELL,HO=F,1,1.56850004196167,2.528688073158264
2020-02-26,BUY,NG=F,1,1.847000002861023,0.6816880702972412
2020-03-19,SELL,NG=F,496674,1.6039999723434448,796665.7639517784
2020-03-20,BUY,NG=F,481660,1.6540000438690186,0.10282182693481445
2020-06-26,SELL,NG=F,481660,1.4819999933242798,713820.2196063995
2020-06-26,BUY,NG=F,481660,1.4819999933242798,0.10282182693481445
2020-08-20,SELL,NG=F,23224,2.4260001182556152,56341.52956819534
2020-08-20,BUY,HO=F,45037,1.2510000467300415,0.24046361446380615
2020-08-27,SELL,NG=F,50264,2.4609999656677246,123699.94273793697
2020-08-27,BUY,HO=F,99381,1.2446999549865723,0.4165114164352417
2020-08-28,SELL,NG=F,14840,2.5789999961853027,38272.77645480633
2020-08-28,BUY,HO=F,31612,1.2107000350952148,0.1269453763961792
2020-08-31,SELL,NG=F,14968,2.6570000648498535,39770.103916049
2020-08-31,BUY,HO=F,32700,1.2161999940872192,0.3641093969345093
2020-09-09,SELL,HO=F,208730,1.076799988746643,224760.82576048374
2020-09-14,SELL,NG=F,56369,2.2690000534057617,352662.0897709131
2020-09-14,BUY,HO=F,323661,1.0895999670028687,1.0748507976531982
2020-09-22,SELL,HO=F,21610,1.107300043106079,23929.828782320023
2020-09-22,BUY,NG=F,13040,1.8350000381469727,1.4282848834991455
2020-09-28,SELL,NG=F,14969,2.1389999389648438,32020.118371248245
2020-09-28,BUY,HO=F,28432,1.1261999607086182,0.0010883808135986328
2020-09-29,SELL,HO=F,4140,1.1395000219345093,4717.531179189682
2020-09-29,BUY,NG=F,2245,2.1010000705718994,0.7860207557678223
2020-09-30,SELL,NG=F,23877,2.561000108718872,61149.785616636276
2020-09-30,BUY,HO=F,55139,1.1089999675750732,0.6364045143127441
2020-10-21,SELL,NG=F,79795,2.9130001068115234,232443.47992753983
2020-10-21,BUY,HO=F,198077,1.1734999418258667,0.1319504976272583
2020-10-28,SELL,NG=F,31851,3.0190000534057617,96158.30265152454
2020-10-28,BUY,HO=F,83059,1.1576999425888062,0.9031200408935547
2020-10-29,SELL,NG=F,7001,2.996000051498413,20975.899480581284
2020-10-29,BUY,HO=F,18825,1.1141999959945679,1.084555983543396
2020-10-30,SELL,NG=F,16762,3.3010001182556152,55332.448538184166
2020-10-30,BUY,HO=F,50838,1.0884000062942505,0.36901819705963135
2020-11-13,SELL,NG=F,10296,2.9760000705718994,30641.265744805336
2020-11-13,BUY,HO=F,24844,1.233299970626831,1.1612745523452759
2020-11-20,SELL,HO=F,20901,1.2706999778747559,26560.061512112617
2020-11-20,BUY,NG=F,10246,2.5920000076293945,2.4294339418411255
2020-11-26,SELL,NG=F,8218,2.8959999084472656,23801.75668156147
2020-11-26,BUY,HO=F,17165,1.3866000175476074,0.7673803567886353
2020-11-27,BUY,HO=F,0,1.3866000175476074,0.7673803567886353
2020-11-30,SELL,NG=F,355,2.8429999351501465,1010.0323573350906
2020-11-30,BUY,HO=F,731,1.3804999589920044,0.8868873119354248
2020-12-22,SELL,NG=F,2405,2.7049999237060547,6506.411703824997
2020-12-22,BUY,HO=F,4403,1.4773999452590942,1.419744849205017
2020-12-29,SELL,NG=F,151997,2.305000066757202,350354.51489174366
2020-12-29,SELL,HO=F,8482,1.4789999723434448,362899.39265716076
2020-12-29,BUY,NG=F,157440,2.305000066757202,0.18214690685272217
2020-12-30,SELL,NG=F,6814,2.4670000076293945,16810.320198893547
2020-12-30,BUY,HO=F,11306,1.486799955368042,0.5599035024642944
2020-12-31,SELL,HO=F,3276,1.489799976348877,4881.144626021385
2020-12-31,BUY,NG=F,2015,2.421999931335449,0.8147643804550171
2021-01-14,SELL,NG=F,51770,2.7269999980926514,141177.60466563702
2021-01-14,BUY,HO=F,88296,1.5988999605178833,1.1337517499923706
2021-01-20,SELL,NG=F,13795,2.5460000038146973,35123.20380437374
2021-01-20,BUY,HO=F,21969,1.5987000465393066,1.362481951713562
2021-01-27,SELL,NG=F,18306,2.6559998989105225,48622.09663140774
2021-01-27,BUY,HO=F,30419,1.5983999967575073,0.3671300411224365
2021-01-28,SELL,NG=F,2607,2.759999990463257,7195.687105178833
2021-01-28,BUY,HO=F,4472,1.6088999509811401,0.6865243911743164
2021-01-29,SELL,NG=F,1508,2.6640000343322754,4017.9985761642456
2021-01-29,BUY,HO=F,2508,1.601699948310852,0.9351058006286621
2021-02-22,SELL,NG=F,64654,3.069000005722046,198424.06147575378
2021-02-22,BUY,HO=F,108850,1.8229000568389893,1.3902888298034668
2021-02-24,BUY,HO=F,0,1.8680000305175781,1.3902888298034668
2021-02-25,BUY,HO=F,0,1.9083000421524048,1.3902888298034668
2021-02-26,SELL,NG=F,1,2.7769999504089355,4.167288780212402
2021-02-26,BUY,HO=F,2,1.906599998474121,0.35408878326416016
2021-03-22,SELL,HO=F,20174,1.8222999572753906,36763.433426856995
2021-03-22,BUY,NG=F,14502,2.5350000858306885,0.8621821403503418
2021-03-29,SELL,HO=F,38251,1.809999942779541,69235.16999340057
2021-03-29,BUY,NG=F,27076,2.556999921798706,1.8401107788085938
2021-03-30,SELL,HO=F,4382,1.8098000288009644,7932.383836984634
2021-03-30,BUY,NG=F,3067,2.5859999656677246,1.1219422817230225
2021-03-31,SELL,HO=F,1952,1.789199948310852,3493.640241384506
2021-03-31,BUY,NG=F,1331,2.622999906539917,2.427365779876709
2021-04-21,SELL,HO=F,58443,1.8801000118255615,109881.11235690117
2021-04-21,BUY,NG=F,40293,2.7269999980926514,2.101433753967285
2021-04-28,SELL,NG=F,447,2.872999906539917,1286.3323919773102
2021-04-28,BUY,HO=F,674,1.9056999683380127,1.890613317489624
2021-04-29,SELL,HO=F,538,1.938599944114685,1044.8573832511902
2021-04-29,BUY,NG=F,357,2.924999952316284,0.6324002742767334
2021-04-30,SELL,HO=F,1773,1.961400032043457,3478.194657087326
2021-04-30,BUY,NG=F,1194,2.9110000133514404,2.4606411457061768
2021-05-14,SELL,HO=F,36197,2.0009000301361084,72429.03903198242
2021-05-14,BUY,NG=F,24362,2.9730000495910645,0.811823844909668
2021-05-20,SELL,HO=F,20200,2.0071001052856445,40544.23395061493
2021-05-20,BUY,NG=F,13678,2.9639999866485596,2.6421332359313965
2021-05-27,SELL,HO=F,24570,2.0452001094818115,50253.20882320404
2021-05-27,BUY,NG=F,16840,2.9839999675750732,2.649369239807129
2021-05-28,SELL,HO=F,9794,2.0564000606536865,20143.031563282013
2021-05-28,BUY,NG=F,6809,2.9579999446868896,2.0099399089813232
2021-05-31,SELL,HO=F,12899,2.0445001125335693,26374.016891479492
2021-05-31,BUY,NG=F,8832,2.9860000610351562,1.6643524169921875
2021-06-22,SELL,HO=F,130852,2.126800060272217,278297.7058391571
2021-06-22,BUY,NG=F,87213,3.190999984741211,1.024169921875
2021-06-28,SELL,HO=F,12817,2.1493000984191895,27548.603531360626
2021-06-28,BUY,NG=F,7880,3.496000051498413,0.12312555313110352
2021-06-29,SELL,NG=F,12467,3.617000102996826,45093.26340961456
2021-06-29,BUY,HO=F,21288,2.1182000637054443,1.0204534530639648
2021-06-30,SELL,NG=F,6488,3.630000114440918,23552.46119594574
2021-06-30,BUY,HO=F,11099,2.1219000816345215,1.492189884185791
2021-07-14,SELL,HO=F,18925,2.1844000816345215,41341.263734817505
2021-07-14,BUY,NG=F,11185,3.696000099182129,1.5026254653930664
2021-07-21,SELL,NG=F,8628,3.875999927520752,33443.63000011444
2021-07-21,BUY,HO=F,16616,2.012700080871582,0.6054563522338867
2021-07-28,SELL,NG=F,21650,3.9709999561309814,85972.75450658798
2021-07-28,BUY,HO=F,40101,2.143899917602539,0.22391080856323242
2021-07-29,SELL,NG=F,12731,4.044000148773193,51484.38980484009
2021-07-29,BUY,HO=F,23879,2.1559998989105225,1.268218755722046
2021-07-30,SELL,NG=F,6998,4.059000015258789,28406.150325536728
2021-07-30,BUY,HO=F,12974,2.1893999576568604,0.8752748966217041
2021-08-13,SELL,NG=F,71173,3.933000087738037,279924.29051947594
2021-08-13,BUY,HO=F,133050,2.1038999557495117,0.40140700340270996
2021-08-20,SELL,NG=F,25242,3.8299999237060547,96677.25948119164
2021-08-20,BUY,HO=F,49099,1.968999981880188,1.3293708562850952
2021-08-27,SELL,NG=F,28528,4.184000015258789,119362.48180615902
2021-08-27,BUY,HO=F,57297,2.083199977874756,1.3726738691329956
2021-08-30,SELL,NG=F,11237,4.369999885559082,49107.06138789654
2021-08-30,BUY,HO=F,23282,2.1092000007629395,0.6669701337814331
2021-08-31,SELL,NG=F,6808,4.304999828338623,29309.105801463127
2021-08-31,BUY,HO=F,13693,2.1403000354766846,1.977415680885315
2021-09-14,SELL,NG=F,52221,5.230999946594238,273170.0256267786
2021-09-14,BUY,HO=F,126567,2.1582999229431152,0.47927963733673096
2021-09-22,SELL,NG=F,1,4.804999828338623,5.284279465675354
2021-09-22,BUY,HO=F,2,2.173799991607666,0.936679482460022
2021-11-22,SELL,HO=F,173,2.2934000492095947,397.6948879957199
2021-11-26,SELL,HO=F,130,2.382999897003174,707.4848746061325
2021-11-29,SELL,HO=F,121,2.0945000648498535,960.9193824529648
2021-11-30,SELL,HO=F,72,2.152100086212158,1115.8705886602402
2021-12-22,SELL,HO=F,742,2.2578001022338867,2791.158264517784
2021-12-22,BUY,ZS=F,2,1308.0,175.15826451778412
2021-12-29,SELL,HO=F,115,2.3714001178741455,447.86927807331085
2021-12-30,SELL,HO=F,8,2.3777999877929688,466.8916779756546
2021-12-31,SELL,HO=F,55,2.395900011062622,598.6661785840988
2022-01-14,SELL,HO=F,58,2.6085000038146973,749.9591788053513
2022-01-20,SELL,HO=F,39,2.6923000812530518,854.9588819742203
2022-01-27,BUY,HO=F,40,2.74399995803833,745.1988836526871
2022-01-28,BUY,HO=F,9,2.7945001125335693,720.048382639885
2022-01-31,BUY,HO=F,42,2.7855000495910645,603.0573805570602
2022-02-22,SELL,ZS=F,1,1601.5,2204.5573805570602
2022-02-22,BUY,HO=F,792,2.7815001010894775,1.6093004941940308
2022-02-24,BUY,HO=F,0,2.829200029373169,1.6093004941940308
2022-02-25,BUY,HO=F,0,2.896899938583374,1.6093004941940308
2022-02-28,BUY,HO=F,0,2.8494999408721924,1.6093004941940308
2022-03-14,BUY,HO=F,0,3.41759991645813,1.6093004941940308
2022-03-16,SELL,HO=F,1151811,3.0297000408172607,3489643.443014264
2022-03-22,BUY,HO=F,918109,3.8008999824523926,2.9610248804092407
2022-03-29,SELL,ZS=F,1,1664.25,1667.2110248804092
2022-03-29,BUY,HO=F,440,3.783400058746338,2.514999032020569
2022-04-07,SELL,HO=F,918549,3.3452000617980957,3072732.686563611
2022-04-20,BUY,HO=F,795653,3.8619000911712646,0.29332292079925537
2022-07-07,SELL,HO=F,795653,3.410599946975708,2713654.372933984
2022-07-14,BUY,HO=F,740242,3.6658999919891357,1.231063961982727
2022-08-06,SELL,HO=F,740242,3.21589994430542,2380545.4376364946
2022-08-12,BUY,HO=F,683279,3.4839999675750732,1.423791766166687
2022-09-27,SELL,HO=F,683279,3.1291000843048096,2138049.800295472
2022-09-28,BUY,HO=F,655863,3.2599000930786133,1.9455486536026
2022-12-07,SELL,HO=F,655863,2.9154999256134033,1912170.4732612371
2022-12-21,BUY,HO=F,625117,3.0589001178741455,0.008276104927062988
